"品番","バーコード","品名","規格1","規格2","ロット","消費期限","在庫区分","総在庫数","在庫数","ロケーション"
"0071031251105","0071031251105","ブレススプレー アイスミント8.5ml","","15 g","","","新品","289","289","B-17-3"
"0071031252201","0071031252201","ブレススプレー スペアミント8.5ml","","15 g","","","新品","288","288","B-06-3"
"2321-3C7Q727-1","2.28272E+12","ボディケアガン","","","","","新品","30","30","E-23-2"
"4523783857921","4523783857921","TUCHE (トゥシェ) テクニカル 上品な輝き グロッシー","","","","","新品","49","49","B-15-3"
"4523783862918","4523783862918","グンゼ　テュシェ TU270P　【脚を細く見せる】ストッキング(無地) ブラック サイズ：M-L","","","","","新品","5","5","E-21-3"
"4523905007326","4523905007326","超冷感マイクロファイバーシャワータオル せっけんクール","","","","","新品","114","114","E-20-1"
"4525636304002","4525636304002","恐竜化石 透明 発掘！恐竜化石せっけん","","","","","新品","262","262","D-09-2"
"4525636307904","4525636307904","サンタン 発掘! 昆虫 せっけん 80g","","","","","新品","384","384","D-16-1"
"4545633023911","4545633023911","女の欲望 脚ほっそり裏起毛パイル腹巻タイツ 150デニール M-Lサイズ","","","","","新品","69","69","B-21-3"
"4545633026127","4545633026127","脚ほっそり裏起毛パイルレギンス 200デニール ブラック","","","","","新品","27","27","C-09-3"
"4548514136564","4548514136564","バスクリン きき湯マグネシウム炭酸湯","","","","","新品","31","31","B-18-3"
"4548514136571","4548514136571","バスクリン きき湯クレイ重曹炭酸湯","","","","","新品","25","25","F-06-2"
"4548514136588","4548514136588","バスクリン きき湯食塩炭酸湯","","","","","新品","28","28","C-16-2"
"4548514136601","4548514136601","バスクリン きき湯カリウム芒硝炭酸湯","","","","","新品","11","11","F-06-2"
"4548514136656","4548514136656","きき湯 カルシウム炭酸湯 30g 分包","","","","","新品","6","6","B-10-3"
"4549308533408","4549308533408","パール金属 キープス　フードマグ270　クリーム","","","","","新品","1","1","C-18-3"
"4549308535792","4549308535792","フェール 鉄鋳物製スキレット16cm オレンジ","","","","","新品","1","1","C-18-3"
"4549308551211","4549308551211","HB5121ハート゛ロックコーティンク゛IHフカフライハ゜ン24CM","","","","","新品","6","6","C-03-1"
"4549308551235","4549308551235","HB5123ハート゛ロックコーティンク゛IHフカフライハ゜ン28CM","","","","","新品","2","2","E-06-2"
"4549308551303","4549308551303","HB5130 ロンク゛ライフメカ゛ストーンIHコ゛クフカFP24CM","","","","","新品","4","4","C-03-1"
"4560108087700","4560108087700","アルカリ電池 NEXcell 単4×4本 シュリンクパック","","","","","新品","28","28","C-15-3"
"4571424993507","4571424993507","U-REALM NナイトフラワーマーケットTM","","","","","新品","32","32","B-16-1"
"4571424994276","4571424994276","bisou bisou. 濃縮シャンプー スウィートフローラルの香り( 200ml)","","","","","新品","30","30","E-16-3"
"4571424994283","4571424994283","bisou bisou 濃縮トリートメント モイストタイプ スイートフローラルの香り 200ml","","","","","新品","3","3","D-07-3"
"4571424994290","4571424994290","bisou bisou. 濃縮シャンプー エレガントフルーティの香り( 200ml)","","","","","新品","1","1","B-21-3"
"4571424994306","4571424994306","bisou bisou. 濃縮トリートメント エレガントフルーティの香り(200ml)","","","","","新品","4","4","D-07-3"
"4571429810960","4571429810960","激爽快洗顔シート50枚","","","","","新品","13","13","C-13-2"
"4571489960018","4571489960018","60cmビニール傘 ジャンプ式 透明 黒骨","","","","","新品","1","1","C-23-3"
"4571573500342","4571573500342","Ladione KF94 4層３Dマスク30枚入り　ブロンドベージュ","","","","","新品","60","60","B-01-1"
"4573110525153","4573110525153","ハック パーティーサンドメーカー HAC2780","","","","","新品","5","5","F-04-3"
"4573110526525","4573110526525","イルミネーション雪だるまLL","","","","","新品","24","24","B-08-3"
"4573127070059","4573127070059","信州安曇野天然水あずみ500ml","","","24","20241106","新品","19224","19224","105-XX-01-1"
"4573221370901","4573221370901","返品予定の在庫(西区保管)FINEVISEA ヒト幹細胞 洗顔フォーム 120ｇ","","","","","新品","22","22","B-14-2"
"4573221370918","4573221370918","返品予定の在庫(西区保管)FINEVISEA ヒト幹細胞 クレンジングジェル 140ｇ","","","","","新品","15","15","B-14-2"
"4573547852228","4573547852228","江戸川コナン おててぽん 「名探偵コナン」","","","","","新品","270","270","B-16-3"
"4573547852235","4573547852235","名探偵コナン おててぽん 怪盗キッド.","","","","","新品","96","96","E-18-3"
"4580044032985","4580044032985","SNスーツケースベルト総柄","","","","","新品","91","91","C-17-1"
"4580256084932","4580256084932","スマートフォンリング＆マグネットホルダーセット","","","","","新品","21","21","D-15-3"
"4582138096408","4582138096408","リファカラットレイ【6408】","230","","","","新品","2","2","C-23-3"
"4582667359616 ","4582667359616 ","1P ビジネス・カジュアルソックス","","","","","新品","5","5","E-23-3"
"4582667359623 ","4582667359623 ","1P 満足カジュアルソックス","","","","","新品","8","8","B-21-3"
"4582667359630 ","4582667359630 ","1P RINKAカジュアルソックス","","","","","新品","40","40","B-21-3"
"4582667359647 ","4582667359647 ","1P キャラ（Disney・トーマス他）","","","","","新品","22","22","F-02-3"
"4901121267616","4901121267616","ネピア ネ ピネピ 12R ダブ ル","","","8","","新品","40","40","A-19-3"
"4901121335032","4901121335032","激吸収キッチンタオル4Ｒ100カット","","860 g","","","新品","1","1","E-06-3"
"4901301310231","4901301310231","バスマジックリン 泡立ちスプレー 詰め替え用 330ml","","","","","新品","213","213","B-16-2"
"4901301347206","4901301347206","花王 バスマジックリン 泡立ちスプレー スーパークリーン グリーンハーブの香り つめかえ用 330ml","","","","","新品","122","122","C-05-1"
"4901301347213","4901301347213","バスマジックリン スーパークリーン アロマローズの香り 詰め替え用 330ml","","","","","新品","120","120","C-05-1"
"4901387023124","4901387023124","デンタルエキスパートプロ　やわらかめ","","","","","新品","2","2","B-05-3"
"4901730200493","4901730200493","ニュートロジーナ ボディバーム(白ラベル)200ml","","235 g","","","新品","20","20","D-22-3"
"4902011786620","4902011786620","ナチュラさら肌さらりコットン100%吸水パンティライナー(ふつう)36枚","","","","","新品","44","44","D-22-1"
"4902011886238","4902011886238","コンパクトガード 羽付き8枚 多い昼用","","","","","新品","2","2","B-19-3"
"4902111762272","4902111762272","ダヴ ボディウォッシュプレミアムつめかえ用360g","","380 g","","","新品","10","10","C-03-2"
"4902430695374","4902430695374","ダウニー液体洗濯洗剤ピンク：ガーデンブルーム550ml","","560 g","","","新品","51","51","C-19-2"
"4902430695442","4902430695442","ダウニー液体洗濯洗剤ブルー：サンライズフレッシュ550ml","","560 g","","","新品","85","85","C-16-1"
"4902430884280","4902430884280","パンパース肌へのいちばんおにいさんパンツビッグ26枚","","","","","新品","4","4","D-03-1"
"4902430885584","4902430885584","パンテーンミー プレミアム シャンプー 詰替 350ml","","","","","新品","6","6","C-02-2"
"4902430885591","4902430885591","パンテーンミー プレミアム トリートメント 詰替 350ml","","","","","新品","1","1","B-17-3"
"4902430885683","4902430885683","パンテーンミー スカルプクレンズ シャンプー 詰替え増量タイプ 385ｍｌ","","420 g","","","新品","31","31","E-17-3"
"4902430911856","4902430911856","ボールド ジェル フレッシュクリーン 詰替用620g","","","","","新品","76","76","C-16-1"
"4902430917230","4902430917230","パンテーン シャン・コンデ エクストラダメージ詰替ペア","","640 g","","","新品","11","11","E-17-3"
"4902510202355","4902510202355","フジラテ 0.02 12個入り","","","","","新品","163","163","B-01-2"
"4902899316308","4902899316308","マイコール 貼るオンパックス くつ下用 白 5個","","","","","新品","36","36","F-03-2"
"4902899329506","4902899329506","エステー On Style おしり41℃ 本体","","","","","新品","8","8","D-06-2"
"4903301274803","4903301274803","ライオン アクロン フローラルブーケの香り 詰替400ml","","","","","新品","3","3","C-02-3"
"4903301274926","4903301274926","ライオン アクロン ナチュラルソープの香り 詰替400ml","","","","","新品","4","4","C-09-1"
"4903301282877","4903301282877","トップ クリアリキッド 詰替720ｇ","","730 g","","","新品","4","4","B-17-2"
"4904705163304","4904705163304","グリーンコレクション フォーク","","","","","新品","38","38","B-05-3"
"4948258002161","4948258002161","e-Syut White(エシュット ホワイト)エコノミー","","","","","新品","4","4","C-22-3"
"4957434006923","4957434006923","昭和電解水セスキウェットレンジ&冷蔵庫","","","","","新品","31","31","B-18-2"
"4957434006930","4957434006930","昭和紙工 ラク楽Life IH&ガスコンロ用セスキクリーナー 20枚入","","","","","新品","9","9","F-04-3"
"4957434008729","4957434008729","大判厚手流せるトイレクリーナー","","","","","新品","14","14","D-01-2"
"4959058091644","4959058091644","アルカリ電池 New Memorex単2×2本 シュリンクパック","","150 g","","","新品","121","121","E-16-3"
"4959058091651","4959058091651","アルカリ電池 New Memorex単3×4本 シュリンクパック","","","","","新品","285","285","F-02-3"
"4964827405362","4964827405362","メラミンスポンジ ミニ","","","","","新品","334","334","E-05-3"
"4967576247191","4967576247191","パーティIHコンロ ricopa","","","","","新品","1","1","D-09-3"
"4967576493017","4967576493017","富士山の強炭酸水 500ml","","515 g","24","20240229","新品","1992","1992","105-XX-01-1"
"4967576592413","4967576592413","富士山の強炭酸水レモン500ml","","","24","20240409","新品","1128","1128","105-XX-01-1"
"4969887826553","4969887826553","雷ガードタップ（2P・3個口・5m）","","","","","新品","5","5","D-22-3"
"4971633300675","4971633300675","セラピティッシュー150Ｗ5Ｐ","","1100 g","12","","新品","1008","144","A-13-3"
"4973307540073","4973307540073","虫除けウェットティッシュ Ｉ’ｍ Ｄｏｒａｅｍ","","","","","新品","175","175","D-22-3"
"4975904017590","4975904017590","LED J-177ポジションランプ T10 6500K 35lm","","","","","新品","13","13","B-20-3"
"4975904017606","4975904017606","LED J-178 P2916W T10 2個入 35lm","","","","","新品","5","5","B-20-3"
"4975904017620","4975904017620","LED J-187ルームランプ T10×31 色温度 13000K 35Lm 1個入り","","","","","新品","25","25","B-20-3"
"4975904017842","4975904017842","LED J-190ポジションランプ T10 6500K 80Lm 2個入り","","","","","新品","24","24","B-20-2"
"4975904017859","4975904017859","LED J-191ポジションランプ T10 6500K 35Lm 2個入り","","","","","新品","21","21","C-23-3"
"4978798005322","4978798005322","学童ジャンプ傘 窓付き 黄 55cm","","","","","新品","55","55","C-02-1"
"4990270122761","4990270122761","サコッシュバッグ PU アナと雪の女王2 NV","","","","","新品","38","38","C-07-2"
"6949560916724","6949560916724","フィスラー (Fissler) ホーロー 両手鍋 カレン ココット 18cm オレンジ","","","","","新品","1","1","C-20-3"
"8710908879500","8710908879500","Dove ボディーソープ フラワー 250ml","","","","","新品","122","122","C-22-2"
"8710908882128","8710908882128","Dove ボディーソープ アボカド 250ml","","260 g","","","新品","22","22","B-15-3"
"DB-MSHJ-04","4570140095014","千年サジー（10本入）","","","","","新品","229","13","B-23-1"
"DTB-CA-BYCHM-004","4595315225058","バイシクルヘルメットDTB（ダークグレー）","","","","","新品","1","1","F-01-2"
"DTB-CA-TLHMT-014","4595315225119","テールライト付ヘルメット流線型（スリム ブラック M）","","","","","新品","1","1","B-23-2"
"DTB-COV-INFAB","4595315225010","新型コロナウイルス＋インフルエンザウイルスA/B抗原検査キット","","","","","新品","2155","2155","A-02-1"
"FT-CTHE-001-1","4580796920097","The Third CATECHIN 1箱【日本製】","","","","","新品","40","40","C-06-3"
"FT-DSTML-001","4580796920585","STEAM LIGHT","","","","","新品","91","91","B-07-3"
"FT-NECO-CTHE-001-10","4580796920103","The Third CATECHIN 10箱(1カートン) 【日本製】平型カートン","","","","","新品","31","31","C-06-3"
"FT-Third-001-1","4580796920011","The Third レギュラー 1箱【日本製】","","","","","新品","29","29","C-06-3"
"FT-Third-002-1","4580796920035","The Third メンソール 1箱【日本製】","","","","","新品","38","38","C-06-3"
"FT-Third-002-10","4580796920042","The Third メンソール 10箱(1カートン)【日本製】","","","","","新品","8","8","C-06-3"
"FT-Third-003-1","4580796920073","The Third ビターコーヒー 1箱【日本製】","","","","","新品","41","41","C-06-3"
"FT-Third-003-10","4580796920080","The Third ビターコーヒー 10箱(1カートン)【日本製】","","","","","新品","39","39","C-06-3"
"FT-Third-004-1","4580796920059","The Third マンゴー 1箱【日本製】","","","","","新品","39","39","C-06-3"
"FT-Third-004-10","4580796920066","The Third マンゴー 10箱(1カートン)【日本製】","","","","","新品","31","31","C-06-3"
"LOYE-LC-006","4582667340102","USBケーブル Lightning 2ｍ","","","","","新品","601","1","E-02-2"
"LOYE-LC-018","4582667354130","マルチで使えるフラッシュドライブ","","","","","新品","222","222","C-06-2"
"SKS-ISD-001","4589838530676","非接触式電子温度計 インセカンズ","","","","","新品","545","545","A-08-1"
"TAP-SP2114MG-5W","4969887826560","雷ガードタップ（2P・4個口・5m）","","","","","新品","2","2","E-22-1"
"TMA07J6","4562441907011","TMランジェリーソープ(容量：120mL)","","","","","新品","10","10","C-03-2"
"TOA-AFR-001","4562441907073","アワフレッシュ","","","","","新品","12","12","B-07-2"
"TOA-ANSIN-001","4580743140288","アルコールチェッカー ANSIN","","","","","新品","5","5","C-01-2"
"TOA-BL-HS-BK","4580743140400","G ビューティドットラボ ストレートヘアアイロン ブラック","","","","","新品","42","42","B-22-3"
"TOA-BL-HS-WT","4580743143241","G ビューティドットラボ ストレートヘアアイロン ホワイト","","","","","新品","224","224","B-19-2"
"TOA-BL-HSB-BK","4580743140578","G ビューティドットラボ ストレートヘアブラシ ブラック","","","","","新品","539","339","A-15-3"
"TOA-BLCIR-BK","4570140091719","ビューティドットラボ　カールヘアアイロン　ブラック","","","","","新品","258","258","B-21-2"
"TOA-CA-BLU","4562441908124","〈Clear Air〉クリアエアー カラー：ブルー","","","","","新品","199","199","E-19-1"
"TOA-CA-BYCHM-004","4570140093034","バイシクルヘルメット（ダークグレー）","","","","","新品","3","3","C-01-3"
"TOA-CAA-RD","4580743145382","抗原・抗体検査ペン型デバイス","","","","20250101","新品","30935","30935","105-XX-01-1"
"TOA-CBDHL-001","4562441908940","CBD HEAL 1箱(20本入り)","","","","","新品","4","4","C-06-3"
"TOA-CBT-HS","4580743145603","カンナビスヘンプシード","","","","","新品","760","760","E-23-1"
"TOA-CBT-HS2","4580743148987","カンナビタスヘンプシード(新パッケージ)","","","","","新品","36","36","D-09-3"
"TOA-CLBLW-001","4562441908995","COOL&BLOW NECKFAN(クール＆ブロウ ネックファン)白","","","","","新品","1","1","C-23-3"
"TOA-CO2MG-003-MB","4562441909213","モバイルCO2マネージャー","","","","","新品","50","50","F-04-2"
"TOA-COAG-ST","4582667345404","新型コロナウィルス抗原検査スティックTM","","","240","","新品","135383","135383","105-YY-01-1"
"TOA-COAG-ST3IN1CN","4582667350941","新型コロナウィルス抗原検査スティックTMN 3in1","","","","20241231","新品","642642","626327","105-ZZ-01-1"
"TOA-FL-YB-BL","4580743140127","G ヨガボール 65cm","","","","","新品","64","64","E-21-1"
"TOA-GNDGK-001","4580743144835","ダイエット対策太りやすい遺伝子調査","","","","20240331","新品","158","158","D-10-3"
"TOA-LRLHP-001","4562441909503","G ロングロールフープ","","","","","新品","10","10","C-04-1"
"TOA-LS-CHINC-001","4570140091214","ル・シーシャ チルインカップ（ピーチティー）","","","","","新品","6","6","C-23-2"
"TOA-LS-CHINC-003","4570140091238","ル・シーシャ チルインカップ（ブルーベリーヨーグルト）","","","","","新品","1","1","B-01-3"
"TOA-LS-LSF-004","4582667357162","ル・シーシャ フルーティー(パイナップル)","","","","","新品","37","37","C-19-3"
"TOA-LS-LSP-001","4582667357087","ル・シーシャ ポケット(シガー)","","","","","新品","28","28","C-19-3"
"TOA-LS-LSP-002","4582667357094","ル・シーシャ ポケット(キャラメルマキアート)","","","","","新品","30","30","C-19-3"
"TOA-LS-LSP-003","4582667357100","ル・シーシャ ポケット(ラム酒)","","","","","新品","29","29","B-06-3"
"TOA-LS-LSP-004","4582667357117","ル・シーシャ ポケット(ピーチリキュール)","","","","","新品","22","22","B-04-3"
"TOA-LS-PM-002","4570140091184","ル・シーシャ　パーム (ザクロ)","","","","","新品","25","25","C-19-3"
"TOA-LS-PM-003","4570140091191","ル・シーシャ　パーム (ぶどう)","","","","","新品","12","12","C-19-3"
"TOA-NVSO-01","4582667358534","NEW VIRUS SHUT OUT ウイルスシャットアウト","","","","","新品","15503","15503","105-YY-01-1"
"TOA-PBS-SD-WC","4582667348030","ポータブルワイヤレススピーカー SOUNDUO","","","","","新品","73","73","B-12-2"
"TOA-PC-T22WY-001","4570140093829","エクティ オープンイヤー ワイヤレスイヤホンT22(オレンジ)","","","","","新品","465","141","B-22-3"
"TOA-R-1000","4.56244E+12","サーモマネージャー サーマルカメラセット","","","","","新品","1","1","B-19-1"
"TOA-R-2000","4562441907219","サーモマネージャーイーエクス サーマルカメラセット","","","","","新品","1","1","B-07-1"
"TOA-R-THMAC-002","4582667348948","サーモマネージャーAC用 アルコールセンサーモジュール","","","","","新品","15","15","D-01-2"
"TOA-ROLGB-001","4562441900050","ロールごみ袋 20L 19枚入","","","","","新品","100","100","E-04-2"
"TOA-RWCIR-BG-L","4582667353324","リウォームカイロ(ベージュ)・Lサイズ","","","","","新品","63","63","D-01-2"
"TOA-RWCIR-PC-BG","4582667353409","リウォームカイロ ポケット(ベージュ)","","","","","新品","26","26","D-15-2"
"TOA-RWCIR-PC-PP","4582667353423","リウォームカイロ ポケット(パープル)","","","","","新品","265","265","C-22-1"
"TOA-RWCIR-PC-WT","4582667353416","リウォームカイロ ポケット(ホワイト)","","","","","新品","364","364","D-23-1"
