"品番","バーコード","品名","規格1","規格2","ロット","消費期限","在庫区分","総在庫数","在庫数","ロケーション"
"4523783857921","4523783857921","TUCHE (トゥシェ) テクニカル 上品な輝き グロッシー","","","","","新品","45","45","A02-1"
"4523783857938","4523783857938","グンゼ上品な輝き　ナチュラルシルバー　M-L","","","","","新品","49","49","A02-1"
"4523783857952","4523783857952","グンゼ上品な輝き　ベージュシルバー　L-LL","","","","","新品","17","17","A02-1"
"4523783857969","4523783857969","グンゼ上品な輝き　ナチュラルシルバー　L-LL","","","","","新品","83","83","A02-1"
"4523783862918","4523783862918","グンゼ　テュシェ TU270P　【脚を細く見せる】ストッキング(無地) ブラック サイズ：M-L","","","","","新品","2","2","C01-1"
"4525636304002","4525636304002","恐竜化石 透明 発掘！恐竜化石せっけん","","","","","新品","279","279","B02-1"
"4540118149001","4540118149001","南国限定　シークァーサー","","","","","新品","4","4","A02-4"
"4540118153237","4540118153237","南国限定　ペアマンゴー","","","","","新品","9","9","A02-4"
"4540118153251","4540118153251","南国限定　ゴーヤくん","","","","","新品","3","3","A02-4"
"4540118153435","4540118153435","ぶたシーサー風水","","","","","新品","24","24","A02-1"
"4545633023911","4545633023911","女の欲望 脚ほっそり裏起毛パイル腹巻タイツ 150デニール M-Lサイズ","","","","","新品","396","396","B02-6"
"4545633026127","4545633026127","脚ほっそり裏起毛パイルレギンス 200デニール ブラック","","","","","新品","322","322","B02-6"
"4547847193442","4547847193442","グンゼ   サブリナ SB495L   40デニールブラックタイツ サイズ：L-LL","","","","","新品","60","60","A02-6"
"4547847193459","4547847193459","グンゼ   サブリナ SB495L   40デニールブラックタイツ サイズ：M-L","","","","","新品","60","60","A02-6"
"4560182824833","4560182824833","においま栓","","","","","新品","1015","69","C02-8"
"4560383710010","4560383710010","クイック　アトマイザー（ゴールド）","","","","","新品","1","1","A02-1"
"4560383710034","4560383710034","クイック　アトマイザー（ピンク）","","","","","新品","9","9","A01-5"
"4571424993491","4571424993491","U-REALM AアフタヌーンティSP詰替","","","","","新品","24","24","B01-6"
"4571424994290","4571424994290","bisou bisou. 濃縮シャンプー エレガントフルーティの香り( 200ml)","","","","","新品","10","10","C01-3"
"4571424994306","4571424994306","bisou bisou. 濃縮トリートメント エレガントフルーティの香り(200ml)","","","","","新品","16","16","C01-3"
"4573110526525","4573110526525","イルミネーション雪だるまLL","","","","","新品","18","18","A02-6"
"4573127070059","4573127070059","信州安曇野天然水あずみ500ml","","","","20240830","新品","1220","1220","K02-6"
"4573138860700","4573138860700","返品予定の在庫(西区保管)アカイロオトハクレンジングオイル150ml","","","","","新品","120","120","LB02-5"
"4573138860717","4573138860717","返品予定の在庫(西区保管)アカイロオトハ水クレンジング500ml","","","","","新品","547","547","LB02-5"
"4573138860724","4573138860724","返品予定の在庫(西区保管)アカイロオトハ洗顔120g","","","","","新品","598","598","LB02-2"
"4573138860731","4573138860731","返品予定の在庫(西区保管)アカイロオトハ化粧水150ml","","","","","新品","646","646","LB02-5"
"4573138860748","4573138860748","返品予定の在庫(西区保管)アカイロオトハ乳液120ml","","","","","新品","648","648","LB02-5"
"4573138860755","4573138860755","返品予定の在庫(西区保管)アカイロオトハクリーム30g","","","","","新品","645","645","LB02-2"
"4573138860762","4573138860762","返品予定の在庫(西区保管)アカイロオトハ美容液a30ml","","","","","新品","1358","1358","LB02-2"
"4573221370918 ","4573221370918 ","FINEVISEA ヒト幹細胞 クレンジングジェル 140ｇ","","","","","新品","270","270","LB02-4"
"4573221370963 ","4573221370963 ","GARAH ガラ メイク落としジェル クレンジング","","","","","新品","660","660","LB02-4"
"4573221370994 ","4573221370994 ","GARAH ガラ 保湿クリーム","","","","","新品","521","521","LB02-4"
"4573574592043","4573574592043","SUNEAST 6.1inchガラスコートフィルム","","","","","新品","13","13","C01-3"
"4573574592050","4573574592050","SUNEAST 6.7inchガラスコートフィルム","","","","","新品","119","119","A02-4"
"4580004431551","4580004431551","ナイトキープアップブラ（Navy　A/B65-70）","","","","","新品","20","20","B02-6"
"4580044032947","4580044032947","SNネームタグ お家","","","","","新品","807","807","C01-3"
"4580044032978","4580044032978","SNスーツケースベルトフェイス","","","","","新品","512","512","C01-3"
"4580284234514","4580284234514","サムライウーマン ブルージャスミンコンディショナー","","","","","新品","692","51","B02-5"
"4580742000033","4580742000033","返品予定の在庫(西区保管)SLIM COFFEE","","","","20231130","新品","2390","1800","LB02-6"
"4580751890045","4580751890045","5ALA-AG 50mg×30粒","","","","20240928","新品","597","597","C02-3"
"4582667359616","4582667359616","1P ビジネス・カジュアルソックス","","","","","新品","16","16","A01-4"
"4582667359623","4582667359623","1P 満足カジュアルソックス","","","","","新品","4","4","C02-2"
"4901121208169","4901121208169","ネピア ネピネピ 12R シングル","","","","","新品","96","96","LK02-4"
"4901121267616","4901121267616","ネピア ネピネピ 12R ダブル","","","","","新品","416","256","LK02-5"
"4901301310231","4901301310231","バスマジックリン 泡立ちスプレー 詰め替え用 330ml","","","","","新品","18","18","B01-6"
"4901301347206","4901301347206","花王 バスマジックリン 泡立ちスプレー スーパークリーン グリーンハーブの香り つめかえ用 330ml","","","","","新品","3","3","C01-1"
"4902011886238","4902011886238","コンパクトガード 羽付き8枚 多い昼用","","","","","新品","7","7","C01-1"
"4902111362120","4902111362120","除菌クリーナー ドメスト 500ml","","","","","新品","48","48","C01-4"
"4902111742106","4902111742106","ドメスト ホワイト＆クリーン 500ml","","","","","新品","19","19","A01-6"
"4902111762272","4902111762272","ダヴ ボディウォッシュプレミアムつめかえ用360g","","","","","新品","48","48","A02-4"
"4902430695374","4902430695374","ダウニー液体洗濯洗剤ピンク：ガーデンブルーム550ml","","","","","新品","1","1","B02-1"
"4902430884341","4902430884341","パンパース肌へのいちばんおねえさんパンツビッグ26枚","","","","","新品","7","7","A02-4"
"4902430917230","4902430917230","パンテーン シャン・コンデ エクストラダメージ詰替ペア","","","","","新品","8","8","B02-3"
"4902510202355","4902510202355","フジラテ 0.02 12個入り","","","","","新品","229","229","A02-1"
"4902899316308","4902899316308","マイコール 貼るオンパックス くつ下用 白 5個","","","","","新品","2","2","B01-2"
"4902899317800","4902899317800","エステー オンパックス 中敷つま先靴用 5足入","","","","","新品","7","7","C01-1"
"4905009931347","4905009931347","IRIS LED小形電球 斜め取付け専用(低輝度) 昼白色相当","","","","","新品","15","15","A02-1"
"4905009931354","4905009931354","IRIS LED小形電球 斜め取付け専用(低輝度) 電球色相当","","","","","新品","81","81","A02-1"
"4905803841095","4905803841095","正方形タイプ食器用ふきん","","","","","新品","23","23","A02-4"
"4954267140275","4954267140275","曙産業 しぼりたカッター レッド CH-2027","","","","","新品","9","9","C01-3"
